key,zh,en
PO.OpenProjectHomeFailed,进入项目主页失败：{0},Failed to open project home: {0}
PO.OpenWorldSettingsFailed,打开世界设定管理失败：{0},Failed to open world settings management: {0}
PO.OutlineGenerated,大纲生成完成并已保存,Outline generated and saved
PO.OpenAIOutlineFailed,打开AI大纲生成器失败：{0},Failed to open AI outline generator: {0}
PO.OpenImportExportFailed,打开导入导出界面失败：{0},Failed to open import & export: {0}
PO.ReadModelServiceNotInitialized,项目读模型服务未初始化,Project read-model service is not initialized
PO.ProjectNotFound,未找到当前项目，请重新选择项目。,Current project not found. Please select a project again.
PO.SettingsUpdated,项目设置已更新,Project settings updated
PO.OpenSettingsFailed,打开项目设置失败：{0},Failed to open project settings: {0}
PO.StatisticsServiceNotInitialized,项目统计服务未初始化,Project statistics service is not initialized
PO.OpenStatisticsFailed,打开统计分析失败：{0},Failed to open statistics: {0}
PO.ProjectServiceNotInitialized,项目服务未初始化,Project service is not initialized
PO.BackupConfirm,确定要备份当前项目“{0}”吗？\n\n备份将包含：\n• 所有文本内容\n• 角色设定\n• 剧情大纲\n• 世界设定\n• 项目配置,"Back up the current project ""{0}""?\n\nThe backup will include:\n• All text content\n• Character settings\n• Plot outline\n• World settings\n• Project configuration"
PO.BackupConfirmTitle,备份确认,Backup Confirmation
PO.BackupNotImplemented,当前项目：{0}\n\n真实备份链路尚未接入，本入口已完成项目上下文收口。\n后续将统一接入导出/备份服务，避免继续使用演示数据。,Current project: {0}\n\nThe real backup pipeline is not connected yet; this entry has completed project context consolidation.\nA unified export/backup service will be integrated later to avoid demo data.
PO.FeaturePending,功能待完善,Feature Pending
PO.BackupFailed,备份项目失败：{0},Failed to back up project: {0}
VM.Subtitle,管理项目的卷宗和章节结构,Manage the volume and chapter structure of the project
VM.NewVolume,新建卷宗,New Volume
VM.ExportCurrent,导出当前内容,Export Current Content
VM.TreeView,树形视图,Tree View
VM.ListView,列表视图,List View
VM.ProjectStructure,项目结构,Project Structure
VM.ProjectStats,项目统计,Project Statistics
VM.TotalVolumes,总卷数,Total Volumes
VM.TotalChapters,总章节数,Total Chapters
VM.AvgChapterWords,平均章节字数,Avg. Words per Chapter
VM.RecentUpdates,最近更新,Recent Updates
VM.InitFailed,卷宗管理界面初始化失败：{0},Failed to initialize volume management: {0}
VM.LoadFailed,加载卷宗数据失败：{0},Failed to load volume data: {0}
VM.VolumeNodeInfo,"({0}章, {1:N0}字)","({0} chapters, {1:N0} words)"
VM.ChapterNodeName,第{0}章：{1},Chapter {0}: {1}
VM.ChapterNodeInfo,({0:N0}字),({0:N0} words)
VM.UnassignedVolume,未归属卷宗,Unassigned volume
VM.MinutesAgo,{0}分钟前,{0} min ago
VM.HoursAgo,{0}小时前,{0} h ago
VM.DaysAgo,{0}天前,{0} d ago
VM.SelectFailed,选择项目失败：{0},Failed to select project: {0}
VM.ShowNodeDetailsFailed,显示节点详情失败：{0},Failed to show node details: {0}
VM.ShowProjectDetailsFailed,显示项目详情失败：{0},Failed to show project details: {0}
VM.ShowVolumeDetailsFailed,显示卷宗详情失败：{0},Failed to show volume details: {0}
VM.ShowChapterDetailsFailed,显示章节详情失败：{0},Failed to show chapter details: {0}
VM.SwitchViewFailed,切换视图模式失败：{0},Failed to switch view mode: {0}
VM.SelectProjectFirstVolume,请先选择有效项目后再创建卷宗。,Please select a valid project before creating a volume.
VM.VolumeCreated,卷宗 '{0}' 创建成功！,Volume '{0}' created successfully!
VM.NewVolumeFailed,新建卷宗操作失败：{0},Failed to create volume: {0}
VM.SelectProjectFirstChapter,请先选择有效项目后再创建章节。,Please select a valid project before creating a chapter.
VM.ChapterCreated,章节 '{0}' 创建成功！,Chapter '{0}' created successfully!
VM.VolumeNotFound,未找到对应的卷宗,Target volume not found
VM.NewChapterFailed,新建章节操作失败：{0},Failed to create chapter: {0}
VM.SelectToExport,请先选择要导出的项目、卷宗或章节,"Please select a project, volume or chapter to export first"
VM.CannotOpenImportExport,无法获取主窗口，无法打开导入导出页面。,Cannot access the main window; the import & export page cannot be opened.
VM.ExportNotSupported,当前所选内容不支持导出。,The current selection cannot be exported.
VM.ExportFailed,导出卷宗操作失败：{0},Failed to export volume: {0}
VM.NoVolumeDescription,暂无卷宗描述,No volume description
VM.EditVolume,编辑卷宗,Edit Volume
VM.DeleteVolume,删除卷宗,Delete Volume
VM.ExportContentDirect,直接导出正文,Export Content
VM.ChapterCountLabel,章节数量:,Chapters:
VM.ChapterCountValue,{0} 章,{0} chapters
VM.EstimatedWordsLabel,预估字数:,Estimated Words:
VM.WordsWithTarget,{0:N0} / {1:N0} 字,{0:N0} / {1:N0} words
VM.WordsValue,{0:N0} 字,{0:N0} words
VM.StatusLabel,状态:,Status:
VM.ChapterList,章节列表,Chapter List
VM.ChapterNumberLabel,章节编号:,Chapter No.:
VM.ChapterNumberValue,第 {0} 章,Chapter {0}
VM.WordCountLabel,字数:,Words:
VM.LastModifiedLabel,最后修改:,Last Modified:
VM.ChapterSummary,章节摘要,Chapter Summary
VM.EditChapter,编辑章节,Edit Chapter
VM.DeleteChapter,删除章节,Delete Chapter
VM.DefaultChapterSummary,这是一个精彩的章节，详细内容请点击编辑查看。,This is an exciting chapter. Click Edit to view the details.
VM.ChapterServiceNotInitialized,章节服务未初始化,Chapter service is not initialized
VM.ChapterNotFoundForEdit,未找到要编辑的章节,Chapter to edit not found
VM.ChapterEditComplete,章节编辑完成！,Chapter editing completed!
VM.EditChapterFailed,编辑章节失败：{0},Failed to edit chapter: {0}
VM.DeleteChapterConfirm,确定删除章节“第{0}章：{1}”吗？,"Delete the chapter ""Chapter {0}: {1}""?"
VM.ConfirmDelete,确认删除,Confirm Delete
VM.DeleteChapterFailedOrMissing,章节删除失败或章节不存在。,"Failed to delete the chapter, or the chapter does not exist."
VM.DeleteChapterFailed,删除章节失败：{0},Failed to delete chapter: {0}
VM.ToBeFilled,待补充,To be filled
VM.PreviewChapterFailed,预览章节失败：{0},Failed to preview chapter: {0}
VM.VolumeServiceNotInitialized,卷宗服务未初始化,Volume service is not initialized
VM.VolumeNotFoundForEdit,未找到要编辑的卷宗。,Volume to edit not found.
VM.EditVolumeFailed,编辑卷宗失败：{0},Failed to edit volume: {0}
VM.DeleteVolumeConfirm,确定删除卷宗“{0}”吗？其下章节也会一并移除。,"Delete the volume ""{0}""? Its chapters will also be removed."
VM.DeleteVolumeFailedOrMissing,卷宗删除失败或卷宗不存在。,"Failed to delete the volume, or the volume does not exist."
VM.DeleteVolumeFailed,删除卷宗失败：{0},Failed to delete volume: {0}
VM.ExportVolumeContentTitle,导出卷宗正文,Export Volume Content
VM.FileType.Text,文本文件 (*.txt),Text Files (*.txt)
VM.FileType.All,所有文件 (*.*),All Files (*.*)
VM.ContentExported,卷宗正文已导出到：{0},Volume content exported to: {0}
VM.ExportComplete,导出成功,Export Successful
VM.ExportContentFailed,导出卷宗正文失败：{0},Failed to export volume content: {0}
VM.ServicesNotInitialized,卷宗服务或章节服务未初始化。,Volume service or chapter service is not initialized.
VM.VolumeNotFoundForExport,未找到要导出的卷宗。,Volume to export not found.
VM.ExportChapterCount,章节数量：{0},Chapters: {0}
VM.ExportWordCount,当前字数：{0:N0}字,Current words: {0:N0}
VM.ExportTime,导出时间：{0},Exported at: {0}
VM.ExportSummaryHeader,【章节摘要】,[Chapter Summary]
VM.ExportContentHeader,【章节内容】,[Chapter Content]
VM.ExportNoContent,暂无正文内容,No content available
VM.ExportFileFailed,导出文件失败：{0},Failed to export file: {0}
NPD.BasicInfo,项目基本信息,Project Basics
NPD.NameHint,项目名称 *,Project Name *
NPD.DescriptionHint,项目描述,Project Description
NPD.TypeHint,项目类型 *,Project Type *
NPD.TargetWordsHint,目标字数,Target Words
NPD.EnableAI,启用AI协作创作,Enable AI co-writing
NPD.EnableAutoSave,启用自动保存,Enable auto-save
NPD.EnableVersionControl,启用版本控制,Enable version control
NPD.TemplateSection,项目模板,Project Templates
NPD.BuiltInTemplates,内置模板,Built-in Templates
NPD.TemplateNote,当前项目管理暂提供一个内置标准模板，用于快速创建正式项目骨架,Project management currently provides one built-in standard template for quickly creating a formal project skeleton
NPD.CreateProject,创建项目,Create Project
NPD.NameRequired,请输入项目名称,Please enter the project name
NPD.TypeRequired,请选择项目类型,Please select the project type
NPD.TargetWordsInvalid,目标字数必须是正整数,Target word count must be a positive integer
NPD.ValidationFailed,验证失败,Validation Failed
NPD.CreateFailed,创建项目时发生错误：{0},An error occurred while creating the project: {0}
EPD.StatusHint,项目状态,Project Status
EPD.SaveChanges,保存更改,Save Changes
EPD.SaveFailed,保存项目失败：{0},Failed to save project: {0}
NVD.Subtitle,为您的书籍创建新的卷宗,Create a new volume for your book
NVD.NameHint,卷宗名称,Volume Name
NVD.DescriptionHint,卷宗描述,Volume Description
NVD.TypeHint,卷宗类型,Volume Type
NVD.OrderHint,卷宗顺序,Volume Order
NVD.TargetChaptersHint,目标章节数,Target Chapters
NVD.EstimatedWordsHint,预计字数,Estimated Words
NVD.ThemeHint,卷宗主题,Volume Theme
NVD.KeyCharactersHint,关键角色（用逗号分隔）,Key characters (comma-separated)
NVD.ImportantEventsHint,重要事件概述,Key events overview
NVD.StatusHint,卷宗状态,Volume Status
NVD.TagsHint,标签（用逗号分隔）,Tags (comma-separated)
NVD.EditTitle,编辑卷宗 - {0},Edit Volume - {0}
NVD.InitFailed,初始化对话框失败：{0},Failed to initialize dialog: {0}
NVD.NameRequired,请输入卷宗名称,Please enter the volume name
NVD.DescriptionRequired,请输入卷宗描述,Please enter the volume description
NVD.TypeRequired,请选择卷宗类型,Please select the volume type
NVD.OrderInvalid,请输入有效的卷宗顺序（正整数）,Please enter a valid volume order (positive integer)
NVD.TargetChaptersInvalid,请输入有效的目标章节数（正整数）,Please enter a valid target chapter count (positive integer)
NVD.EstimatedWordsInvalid,请输入有效的预计字数（正整数）,Please enter a valid estimated word count (positive integer)
NVD.ValidateFailed,验证输入时发生错误：{0},An error occurred while validating input: {0}
NVD.CreateFailed,创建卷宗时发生错误：{0},An error occurred while creating the volume: {0}
NCD.Title,新建章节,New Chapter
NCD.Subtitle,为选定的卷宗创建新章节,Create a new chapter for the selected volume
NCD.VolumeHint,所属卷宗,Volume
NCD.TitleHint,章节标题,Chapter Title
NCD.NumberHint,章节编号,Chapter Number
NCD.TypeHint,章节类型,Chapter Type
NCD.SummaryHint,章节摘要,Chapter Summary
NCD.TargetWordsHint,目标字数,Target Word Count
NCD.ImportanceHint,重要性等级,Importance Level
NCD.Importance1,1 - 普通,1 - Normal
NCD.Importance2,2 - 重要,2 - Important
NCD.Importance3,3 - 关键,3 - Critical
NCD.Importance4,4 - 核心,4 - Core
NCD.Importance5,5 - 转折点,5 - Turning Point
NCD.DifficultyHint,写作难度,Writing Difficulty
NCD.Difficulty1,1 - 简单,1 - Easy
NCD.Difficulty2,2 - 普通,2 - Normal
NCD.Difficulty3,3 - 中等,3 - Medium
NCD.Difficulty4,4 - 困难,4 - Hard
NCD.Difficulty5,5 - 极难,5 - Very Hard
NCD.RelatedCharactersHint,相关角色（用逗号分隔）,Related characters (comma-separated)
NCD.KeyEventsHint,关键事件,Key Events
NCD.StatusHint,章节状态,Chapter Status
NCD.TagsHint,标签（用逗号分隔）,Tags (comma-separated)
NCD.NotesHint,备注,Notes
NCD.InitFailed,初始化对话框失败：{0},Failed to initialize dialog: {0}
NCD.VolumeRequired,请选择所属卷宗,Please select the volume
NCD.TitleRequired,请输入章节标题,Please enter the chapter title
NCD.NumberInvalid,请输入有效的章节编号（正整数）,Please enter a valid chapter number (positive integer)
NCD.TypeRequired,请选择章节类型,Please select the chapter type
NCD.TargetWordsInvalid,请输入有效的目标字数（正整数）,Please enter a valid target word count (positive integer)
NCD.ChapterCreated,章节 '{0}' 创建成功！,Chapter '{0}' created successfully!
NCD.CreateFailed,创建章节时发生错误：{0},An error occurred while creating the chapter: {0}
CM.Title,人物管理,Character Management
CM.Subtitle,管理书籍中的角色信息和关系,Manage character information and relationships in your book
CM.New,新建角色,New Character
CM.Import,导入角色,Import Characters
CM.Export,导出角色,Export Characters
CM.AIGenerateTooltip,使用AI生成角色,Generate characters with AI
CM.AIGenerate,AI生成角色,AI Generate
CM.AIOptimizeTooltip,使用AI优化选中角色,Optimize the selected character with AI
CM.AIOptimize,AI优化,AI Optimize
CM.RelationAnalysisTooltip,使用AI分析角色关系,Analyze character relationships with AI
CM.RelationAnalysis,关系分析,Relationship Analysis
CM.TypeHint,角色类型,Character Type
CM.TypeAll,全部,All
CM.TypeProtagonist,主角,Protagonist
CM.TypeSecondaryLead,主配角,Secondary Lead
CM.TypeSupporting,次配角,Supporting Role
CM.TypeAntagonist,反派,Antagonist
CM.TypeExtra,路人,Extra
CM.SearchHint,搜索角色...,Search characters...
CM.List,角色列表,Character List
CM.Stats,角色统计,Character Statistics
CM.TotalCount,总角色数,Total Characters
CM.MajorCount,主要角色,Major Characters
CM.FactionCount,势力数量,Factions
CM.RelationCount,关系数量,Relationships
CM.TypeDistribution,角色类型分布,Character Type Distribution
CM.NamePlaceholder,角色姓名,Character Name
CM.FactionPlaceholder,玄天宗,Faction
CM.RealmPlaceholder,筑基期,Cultivation Realm
CM.RemarksTitle,角色备注,Character Remarks
CM.RemarksHint,角色备注内容...,Character remarks...
CM.Appearance,外貌特征,Appearance
CM.AppearanceHint,外貌特征描述...,Appearance description...
CM.Personality,性格特点,Personality
CM.PersonalityHint,性格特点描述...,Personality traits...
CM.Backstory,背景故事,Backstory
CM.BackstoryHint,背景故事描述...,Backstory...
CM.Abilities,能力技能,Abilities & Skills
CM.AbilitiesHint,能力技能描述...,Abilities and skills...
CM.Experience,履历经历,Experience
CM.ExperienceHint,履历经历描述...,Experience history...
CM.KeyEvents,关键事件,Key Events
CM.KeyEventsHint,关键事件描述...,Key events...
CM.BackToOverview,返回概览,Back to Overview
CDD.Title,删除角色确认,Delete Character Confirmation
CDD.Warning,此操作不可撤销，请谨慎操作,This action cannot be undone. Proceed with caution.
CDD.DeleteWarning,删除警告,Delete Warning
CDD.Consequences,删除此角色将会：,Deleting this character will:
CDD.C1,• 永久删除角色的所有信息,• Permanently delete all character information
CDD.C2,• 删除与其他角色的关系连接,• Remove relationship links with other characters
CDD.C3,• 从所有相关剧情中移除,• Remove the character from all related plots
CDD.C4,• 此操作无法撤销,• This action cannot be undone
CDD.ConfirmInputHint,请输入角色姓名以确认删除：,Type the character name to confirm deletion:
CDD.ConfirmOptionalHint,可直接确认删除，或输入角色姓名再次确认,"You can confirm directly, or type the character name to double-confirm"
CDD.ConfirmDelete,确认删除,Delete
CM.ServiceInitFailed,服务初始化失败: {0},Service initialization failed: {0}
CM.LoadDataFailed,加载角色数据失败: {0},Failed to load character data: {0}
CM.None,无,None
CM.Unknown,未知,Unknown
CM.NoDescription,暂无描述,No description yet
CM.NoAppearance,暂无外貌描述,No appearance description yet
CM.NoPersonality,暂无性格描述,No personality description yet
CM.NoBackstory,暂无背景故事,No backstory yet
CM.NoAbilities,暂无能力描述,No abilities description yet
CM.NoHistory,暂无履历记录,No experience records yet
CM.NoKeyEvents,暂无关键事件,No key events yet
CM.ShowDetailFailed,显示角色详情失败: {0},Failed to show character details: {0}
CM.EnsureCreateTitle,创建角色,Create Character
CM.DuplicateReused,项目内已存在同名且描述一致的角色 '{0}'，已复用现有角色。如需区分，请调整性格或背景描述。,A character named '{0}' with an identical description already exists in the project and has been reused. Adjust the personality or backstory to distinguish them.
CM.CreateSuccess,角色 '{0}' 创建成功！,Character '{0}' created successfully!
CM.CreateSuccessLocal,角色 '{0}' 创建成功（仅本地）！,Character '{0}' created (local only)!
CM.CreateFailed,新建角色失败: {0},Failed to create character: {0}
CM.NoMainWindow,无法获取主窗口，无法打开导入导出页面。,Cannot get the main window; the import/export page cannot be opened.
CM.SelectToEdit,请先选择要编辑的角色,Select a character to edit first
CM.UpdateSuccess,角色信息更新成功！,Character information updated successfully!
CM.UpdateFailedInner,更新角色失败: {0},Failed to update character: {0}
CM.UpdateSuccessLocal,角色信息更新成功（仅本地）！,Character information updated (local only)!
CM.EditFailed,编辑角色失败: {0},Failed to edit character: {0}
CM.SelectToDelete,请先选择要删除的角色,Select a character to delete first
CM.ReferencedBody,角色 '{0}' 已被以下内容引用：\n\n{1}\n\n已被引用的角色只能编辑，不能删除。是否要编辑此角色？,"Character '{0}' is referenced by:/n/n{1}/n/nReferenced characters can only be edited, not deleted. Edit this character instead?"
CM.ReferencedTitle,角色已被引用,Character Is Referenced
CM.DeleteSuccess,角色 '{0}' 删除成功！,Character '{0}' deleted successfully!
CM.DeleteFailedMsg,删除失败: {0},Delete failed: {0}
CM.DeleteSuccessLocal,角色 '{0}' 删除成功（仅本地）！,Character '{0}' deleted (local only)!
CM.DeleteFailed,删除角色失败: {0},Failed to delete character: {0}
CM.ServiceNotInitSave,角色服务未初始化，无法保存 AI 生成角色。,Character service is not initialized; cannot save AI-generated characters.
CM.AIDuplicateReused,项目内已存在同名且描述一致的角色: {0}，已复用现有角色,A character named '{0}' with an identical description already exists; the existing character was reused
CM.AIGenerateSuccess,成功生成角色: {0},Character generated successfully: {0}
CM.AIBadFormat,生成的角色数据格式不正确,The generated character data is malformed
CM.AIGenerateFailed,AI生成角色失败,AI character generation failed
CM.AIServiceNotInit,AI助手服务未初始化,AI assistant service is not initialized
CM.AIGenerateFailedEx,AI生成角色失败: {0},AI character generation failed: {0}
CM.SelectToOptimize,请先选择要优化的角色,Select a character to optimize first
CM.ServiceNotInitSaveOpt,角色服务未初始化，无法保存优化结果。,Character service is not initialized; cannot save optimization results.
CM.AIOptimizeSuccess,成功优化角色: {0},Character optimized successfully: {0}
CM.AIOptimizeBadFormat,优化后的角色数据格式不正确,The optimized character data is malformed
CM.AIOptimizeFailed,AI优化角色失败,AI character optimization failed
CM.AIOptimizeFailedEx,AI优化角色失败: {0},AI character optimization failed: {0}
CM.NeedTwoChars,至少需要2个角色才能进行关系分析,At least 2 characters are required for relationship analysis
CM.RelationDone,角色关系分析完成,Character relationship analysis completed
CM.RelationFailed,AI分析角色关系失败,AI relationship analysis failed
CM.RelationFailedEx,AI分析角色关系失败: {0},AI relationship analysis failed: {0}
CM.AIGenParamsTitle,AI角色生成参数,AI Character Generation Parameters
CM.AIGenTitle,角色生成,Character Generation
CM.UseDefaultParams,是否使用默认参数生成角色？,Generate the character with default parameters?
CM.OptimizeTitleFmt,优化角色: {0},Optimize Character: {0}
CM.OptimizeTitle,角色优化,Character Optimization
CM.UseDefaultGoals,是否使用默认优化目标？,Use default optimization goals?
CM.RelationResultTitle,角色关系分析结果,Character Relationship Analysis Result
CM.RelationResultDone,角色关系分析结果已生成,The character relationship analysis result has been generated
CDD.LoadFailed,加载角色信息失败: {0},Failed to load character information: {0}
CDD.FinalConfirm,您确定要删除角色 '{0}' 吗？\n\n此操作不可撤销！,Are you sure you want to delete character '{0}'?\n\nThis action cannot be undone!
CDD.FinalConfirmTitle,最终确认,Final Confirmation
CDD.DeleteOpFailed,删除操作失败: {0},Delete operation failed: {0}
CED.Title,编辑角色,Edit Character
CED.Header,编辑角色信息,Edit Character Information
CED.Subtitle,修改角色的详细信息,Modify the character's details
CED.BasicInfo,基本信息,Basic Information
CED.TypeHint,角色类型,Character Type
CED.FactionHint,所属势力,Faction
CED.CultivationHint,修为等级,Cultivation Level
CED.Data.主角,主角,Protagonist
CED.Data.主配角,主配角,Secondary Lead
CED.Data.次配角,次配角,Supporting Role
CED.Data.反派,反派,Antagonist
CED.Data.路人,路人,Extra
CED.Data.玄天宗,玄天宗,Xuantian Sect
CED.Data.血魔宗,血魔宗,Blood Demon Sect
CED.Data.散修,散修,Independent Cultivator
CED.Data.皇室,皇室,Imperial Family
CED.Data.魔道联盟,魔道联盟,Demonic Alliance
CED.Data.正道联盟,正道联盟,Righteous Alliance
CED.Data.练气期,练气期,Qi Refining
CED.Data.筑基期,筑基期,Foundation Building
CED.Data.金丹期,金丹期,Golden Core
CED.Data.元婴期,元婴期,Nascent Soul
CED.Data.化神期,化神期,Spirit Transformation
CED.Data.炼虚期,炼虚期,Void Refinement
CED.Data.合体期,合体期,Body Integration
CED.Data.大乘期,大乘期,Mahayana
CED.Data.渡劫期,渡劫期,Tribulation Crossing
CED.Description,角色描述,Character Description
CED.DescriptionHint,角色的简要描述和备注...,Brief description and remarks...
CED.AppearanceHint,描述角色的外貌特征...,Describe the character's appearance...
CED.PersonalityHint,描述角色的性格特点...,Describe the character's personality...
CED.BackstoryHint,描述角色的背景故事...,Describe the character's backstory...
CED.AbilitiesHint,描述角色的能力和技能...,Describe the character's abilities and skills...
CED.ExperienceHint,角色的历史履历和重要经历概述...,Summary of the character's history and key experiences...
CED.KeyEventsHint,角色的关键经历和重要事件摘要...,Summary of the character's key experiences and events...
CED.AIAutoFill,AI自动补全,AI Auto-Fill
CED.Reset,重置内容,Reset Content
CED.NewTitle,新建角色,New Character
CED.EditTitleFmt,编辑角色 - {0},Edit Character - {0}
CED.LoadFailed,加载角色数据失败: {0},Failed to load character data: {0}
Msg.ValidationFailed,验证失败,Validation Failed
CED.NameRequired,请输入角色姓名,Please enter the character name
CED.TypeRequired,请选择角色类型,Please select a character type
CED.FactionRequired,请输入或选择所属势力,Please enter or select a faction
CED.NameEmpty,角色名称不能为空,Character name cannot be empty
CED.SaveErrorInner,保存角色数据时发生错误: {0},An error occurred while saving character data: {0}
CED.SaveFailed,保存角色失败: {0},Failed to save character: {0}
CED.ResetConfirm,是否将当前内容恢复为打开窗口时的初始状态？,Restore the content to its initial state when the window was opened?
CED.ResetTitle,重置内容,Reset Content
CED.AIFillFailed,AI自动补全失败,AI auto-fill failed
CED.AIFillDone,已完成角色信息自动补全。,Character information auto-fill completed.
CED.AIFillTitle,AI自动补全,AI Auto-Fill
CED.AIFillFailedEx,AI自动补全失败: {0},AI auto-fill failed: {0}
PLM.Title,剧情管理,Plot Management
PLM.Subtitle,管理主线、支线剧情和时间线,"Manage main plots, subplots, and timelines"
PLM.New,新建剧情,New Plot
PLM.TimelineView,时间线视图,Timeline View
PLM.Analysis,剧情分析,Plot Analysis
PLM.Export,导出剧情,Export Plots
PLM.AIGenerateTooltip,使用AI生成剧情,Generate plots with AI
PLM.AIGenerate,AI生成剧情,AI Generate
PLM.AIOptimizeTooltip,使用AI优化选中剧情,Optimize the selected plot with AI
PLM.AIOptimize,AI优化,AI Optimize
PLM.AIConsistencyTooltip,使用AI检查剧情连贯性,Check plot consistency with AI
PLM.ConsistencyCheck,连贯性检查,Consistency Check
PLM.AISuggestTooltip,使用AI获取剧情建议,Get plot suggestions with AI
PLM.Suggestions,剧情建议,Plot Suggestions
PLM.TypeHint,剧情类型,Plot Type
PLM.TypeAll,全部,All
PLM.TypeMain,主线,Main Plot
PLM.TypeSub,支线,Subplot
PLM.TypeForeshadow,伏笔,Foreshadowing
PLM.TypeFlashback,回忆,Flashback
PLM.TypeExtra,番外,Extra Chapter
PLM.StatusHint,剧情状态,Plot Status
PLM.StatusPlanned,规划中,Planned
PLM.StatusInProgress,进行中,In Progress
PLM.StatusCompleted,已完成,Completed
PLM.StatusPaused,暂停,Paused
PLM.SearchHint,搜索剧情...,Search plots...
PLM.List,剧情列表,Plot List
PLM.GroupByTypeTooltip,按类型分组,Group by type
PLM.Stats,剧情统计,Plot Statistics
PLM.TotalCount,总剧情数,Total Plots
PLM.MainCount,主线剧情,Main Plots
PLM.SubCount,支线剧情,Subplots
PLM.Progress,完成进度,Completion Progress
PLM.StatusDistribution,剧情状态分布,Plot Status Distribution
PLM.RecentUpdate,最近更新,Recently Updated
PLM.SampleMain,主线：天劫降临,Main: The Heavenly Tribulation Descends
PLM.SampleMainDesc,林轩面临天劫考验的关键剧情,A key plot where Lin Xuan faces the trial of the heavenly tribulation
PLM.HoursAgo2,2小时前,2 hours ago
PLM.SampleSub,支线：苏雨薇的秘密,Sub: Su Yuwei's Secret
PLM.SampleSubDesc,揭示苏雨薇身世之谜的支线剧情,A subplot revealing the mystery of Su Yuwei's origin
PLM.DayAgo1,1天前,1 day ago
PLM.ServiceInitFailed,服务初始化失败: {0},Service initialization failed: {0}
PLM.ServiceNotInit,剧情服务未初始化,Plot service is not initialized
PLM.LoadFailed,加载剧情数据失败：{0},Failed to load plot data: {0}
PLM.EditPlot,编辑剧情,Edit Plot
PLM.DeletePlot,删除剧情,Delete Plot
PLM.Description,剧情描述,Plot Description
PLM.NoNotes,暂无备注,No notes yet
PLM.ShowDetailFailed,显示剧情详情失败：{0},Failed to show plot details: {0}
PLM.GroupModeFailed,切换分组模式失败：{0},Failed to switch grouping mode: {0}
PLM.NewFailed,新建剧情操作失败：{0},Failed to create plot: {0}
PLM.NoPlots,当前项目暂无剧情。,No plots in the current project.
PLM.TimelineReportTitle,剧情时间线,Plot Timeline
PLM.CannotSaveAI,当前项目或剧情服务不可用，无法保存 AI 生成结果。,The current project or plot service is unavailable; cannot save AI-generated results.
PLM.AIGenerateSuccess,成功生成剧情: {0},Plot generated successfully: {0}
PLM.AIBadFormat,生成的剧情数据格式不正确,The generated plot data is malformed
PLM.AIGenerateFailed,AI生成剧情失败,AI plot generation failed
PLM.AIGenerateFailedEx,AI生成剧情失败: {0},AI plot generation failed: {0}
PLM.SelectToOptimize,请先选择要优化的剧情,Select a plot to optimize first
PLM.ServiceNotInitSaveOpt,剧情服务未初始化，无法保存优化结果。,Plot service is not initialized; cannot save optimization results.
PLM.OptimizeNotFound,未找到要优化的剧情。,The plot to optimize was not found.
PLM.AIOptimizeSuccess,成功优化剧情: {0},Plot optimized successfully: {0}
PLM.AIOptimizeBadFormat,优化后的剧情数据格式不正确,The optimized plot data is malformed
PLM.AIOptimizeFailed,AI优化剧情失败,AI plot optimization failed
PLM.AIOptimizeFailedEx,AI优化剧情失败: {0},AI plot optimization failed: {0}
PLM.NeedTwoPlots,至少需要2个剧情才能进行连贯性检查,At least 2 plots are required for consistency checking
PLM.ConsistencyDone,剧情连贯性检查完成,Plot consistency check completed
PLM.ConsistencyFailed,AI检查剧情连贯性失败,AI plot consistency check failed
PLM.ConsistencyFailedEx,AI检查剧情连贯性失败: {0},AI plot consistency check failed: {0}
PLM.SuggestionDone,剧情建议获取完成,Plot suggestions fetched
PLM.SuggestionFailed,AI获取剧情建议失败,AI plot suggestion failed
PLM.SuggestionFailedEx,AI获取剧情建议失败: {0},AI plot suggestion failed: {0}
PLM.AIGenParamsTitle,AI剧情生成参数,AI Plot Generation Parameters
PLM.ThemeRequired,请输入剧情主题。,Please enter a plot theme.
PLM.GoalRequired,请至少选择一个优化目标。,Select at least one optimization goal.
PLM.EditNotFound,未找到要编辑的剧情。,The plot to edit was not found.
PLM.DeleteConfirm,确定删除剧情“{0}”吗？,Are you sure you want to delete plot “{0}”?
PLM.DeleteConfirmTitle,确认删除,Confirm Deletion
PLM.DeleteFailedOrMissing,剧情删除失败或剧情不存在。,Plot deletion failed or the plot no longer exists.
PLM.AnalysisOverview,剧情分析概览,Plot Analysis Overview
PLM.NoRecentUpdates,• 暂无剧情更新,• No recent plot updates
PLM.StatTotalPlots,总剧情数,Total plots
PLM.StatMainline,主线剧情,Main plots
PLM.StatBranch,支线剧情,Sub plots
PLM.StatCompleted,已完成,Completed
PLM.StatInProgress,进行中,In progress
PLM.StatPlanning,规划中,Planned
PLM.StatAvgProgress,平均进度,Average progress
PLM.StatAvgCompletion,平均完成度,Average completion
PLM.RecentUpdatesColon,最近更新：,Recent updates:
PLM.AIFillFailed,AI自动补全失败。,AI auto-fill failed.
PLM.AIDefaultTitle,AI剧情,AI Plot
PLM.TitleRequired,请输入剧情标题。,Please enter a plot title.
PLM.OptimizeTitleFmt,优化剧情: {0},Optimize Plot: {0}
PLM.ConsistencyResultTitle,剧情连贯性检查结果,Plot Consistency Check Result
